 Stg  TypeStg      Time/Vol   TotReturnSI     LayerSI01     LayerSI02     LayerSI03      WellSI01      WellSI02      WellSI03        Wprd01        Wprd02        Wprd03        Temp01        Temp02        Temp03
   1        1        0.0042   150000.0000    48026.1490    40324.4302    86062.2926        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0083   150000.0000    80648.5082    69772.0002   122716.3398        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0125   150000.0000   102811.7749    91283.2157   138328.9080        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0167   150000.0000   117869.9841   106998.3067   144979.1227        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0208   150000.0000   128101.1067   118479.5062   147811.8299        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0250   150000.0000   135052.6213   126867.7052   149018.4571        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0292   150000.0000   139775.8591   132996.2537   149532.4476        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0333   150000.0000   142985.1093   137473.9234   149751.4054        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0375   150000.0000   145165.6817   140745.4542   149844.6925        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0417   150000.0000   146647.3159   143135.7637   149884.4492        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0458   150000.0000   147654.0530   144882.2357   149901.4044        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0500   150000.0000   148338.1178   146158.3044   149908.6471        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0542   150000.0000   148802.9403   147090.6837   149911.7528        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0583   150000.0000   149118.7967   147771.9533   149913.0962        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0625   150000.0000   149333.4367   148269.7543   149913.6890        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0667   150000.0000   149479.3042   148633.5073   149913.9620        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0708   150000.0000   149578.4436   148899.3203   149914.0988        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0750   150000.0000   149645.8331   149093.5751   149914.1776        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0792   150000.0000   149691.6497   149235.5470   149914.2317        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.0833   150000.0000   149722.8085   149339.3191   149914.2752        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
