#Design  TotInjTime   TotInjVol   TotSICost  TotInjCost     TotCost     %OptObj     RealObj
0            26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
1            26.50     3480.00    73530.00   228562.50   302092.50       -1.00      192.84
2            26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
3            26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
4            26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
5            26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
6            26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
7            26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
8            26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
9            26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
10           26.50     3480.00    73530.00   228562.50   302092.50       -1.00      192.84
11           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
12           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
13           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
14           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
15           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
16           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
17           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
18           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
19           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
20           26.50     3480.00    73530.00   228562.50   302092.50       -1.00      192.84
21           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
22           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
23           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
24           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
25           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
26           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
27           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
28           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
29           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
30           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
31           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
32           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
33           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
34           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
35           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
36           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
37           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
