Stg TypeStg      Time/Vol   TotReturnSI       LayerSI        WellSI          Wprd          Temp
  1       1         0.0004    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0008    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0012    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0017    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0021    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0025    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0029    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0033    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0037    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0042    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0046    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0050    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0054    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0058    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0062    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0067    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0071    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0075    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0079    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0083    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0087    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0092    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0096    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0100    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0104    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0108    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0112    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0117    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0121    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0125    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0129    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0133    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0137    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0142    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0146    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0150    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0154    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0158    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0162    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0167    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0171    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0175    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0179    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0183    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0187    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0192    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0196    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0200    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0204    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0208    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0212    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0217    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0221    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0225    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0229    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0233    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0237    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0242    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0246    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0250    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0254    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0258    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0262    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0267    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0271    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0275    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0279    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0283    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0287    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0292    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0296    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0300    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0304    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0308    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0312    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0317    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0321    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0325    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0329    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0333    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0337    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0342    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0346    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0350    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0354    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0358    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0362    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0367    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0371    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0375    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0379    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0383    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0387    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0391    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0396    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0400    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0404    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0408    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0412    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0416    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0421    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0425    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0429    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0433    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0437    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0441    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0446    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0450    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0454    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0458    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0462    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0466    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0471    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0475    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0479    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0483    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0487    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0491    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0496    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0500    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0504    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0508    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0512    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0516    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0521    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0525    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0529    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0533    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0537    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0541    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0546    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0550    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0554    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0558    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0562    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0566    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0571    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0575    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0579    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0583    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0587    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0591    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0596    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0600    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0604    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0608    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0612    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0616    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0621    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0625    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0629    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0633    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0637    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0641    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0646    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0650    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0654    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0658    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0662    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0666    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0671    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0675    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0679    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0683    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0687    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0691    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0696    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0700    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0704    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0708    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0712    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0716    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0721    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0725    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0729    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0733    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0737    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0741    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0746    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0750    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0754    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0758    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0762    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0766    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0771    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0775    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0779    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0783    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0787    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0791    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0795    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0800    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0804    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0808    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0812    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0816    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0820    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0825    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0829    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0833    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0837    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0841    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0845    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0850    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0854    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0858    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0862    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0866    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0870    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0875    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0879    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0883    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0887    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0891    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0895    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0900    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0904    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0908    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0912    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0916    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0920    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0925    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0929    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0933    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0937    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0941    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0945    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0950    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0954    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0958    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0962    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
  1       1         0.0966    75000.0000    75000.0000    75000.0000    75000.0000        0.0000
