 Number of rows
          61
 Conc  Adso,mg/L
       2.21210    -909.94409
       2.72760    -839.01544
       2.79980    -830.47166
       2.83410    -826.32412
       2.83590    -826.59166
       2.84390    -825.09352
       3.03440    -804.53874
       3.08860    -798.71336
       3.35930    -770.59823
       3.70230    -736.21512
       3.84670    -722.26264
       3.93690    -713.87356
       4.18960    -691.28553
       4.20770    -689.74490
       4.42430    -672.28903
       4.55060    -662.58925
       4.74920    -648.02128
       4.85750    -640.31038
       4.92970    -635.29418
       5.01990    -629.29941
       5.79610    -580.38739
       6.03070    -565.62574
       6.24730    -553.43233
       6.53610    -539.00324
       6.80690    -525.67178
       7.27620    -504.18549
       7.49280    -495.01518
       7.94400    -477.46742
       8.66900    -451.76973
       9.12030    -436.93980
       9.39100    -428.51092
       9.88740    -413.90968
      10.65450    -392.66781
      11.51190    -370.40281
      11.78260    -363.83970
      12.27900    -352.65985
      13.18150    -334.66653
      14.08400    -319.00587
      14.80600    -307.72141
      15.48290    -298.30820
      17.88950    -268.98801
      19.51400    -251.71560
      22.58250    -223.31979
      25.65100    -199.15384
      32.32950    -155.76353
      35.75900    -137.61857
      46.40850     -92.28381
     119.53000     118.19703
     188.12000     232.90188
     494.97000     534.56027
    1668.60000    1225.74165
    1957.40000    1374.05193
    2246.20000    1507.43269
    2751.60000    1714.72235
    3545.80000    1999.40705
    5206.40000    2508.81213
    7589.00000    3116.52912
   10260.40000    3659.84581
   16253.00000    4568.92848
   24483.80000    5392.05665
   29465.60000    5632.73153
