 Number of rows
         113
 Conc  Adso,mg/L
       7.86300   94898.56705
       7.97520   95033.65259
       9.04370   95956.48371
       9.66930   96933.80130
      10.39700   98015.55636
      10.69600   98172.43117
      10.97300   98849.33676
      11.18200   99132.29141
      11.40100   98949.30161
      11.86500   99429.18849
      12.79200  100310.01105
      13.81600  101195.71124
      13.90300  101262.15921
      17.23300  103460.72000
      20.51000  105409.31141
      22.65900  106549.04795
      23.14000  106770.14701
      24.97100  107511.95787
      32.11200  110044.82789
      37.38400  111578.02825
      38.59500  111852.53939
      47.53900  113560.42273
      79.00000  117913.87456
     162.00000  123956.81682
     163.00000  123995.82277
     165.00000  124071.49884
     167.00000  124147.75607
     172.00000  124322.34041
     178.00000  124515.47552
     180.00000  124579.46692
     185.00000  124734.77520
     186.00000  124764.43369
     193.00000  124962.69983
     197.00000  125087.18102
     201.00000  125181.28122
     206.00000  125312.05014
     212.00000  125452.03211
     225.00000  125738.87060
     232.00000  125865.86641
     245.00000  126114.73245
     256.00000  126315.96479
     259.00000  126366.38546
     276.00000  126628.73319
     277.00000  126643.20329
     280.57000  126691.52498
     292.92000  126852.91532
     301.73000  126965.98570
     305.00000  127008.58077
     310.95000  127082.16454
     320.37000  127195.06957
     321.04000  127205.53385
     331.70000  127329.89336
     337.56000  127399.55771
     339.10000  127412.00072
     341.14000  127437.27492
     341.72000  127443.22801
     345.05000  127478.63294
     350.53000  127531.45874
     350.62000  127539.70783
     362.92000  127652.83916
     372.99000  127749.81792
     375.90000  127776.96589
     377.73000  127792.93115
     382.58000  127835.91136
     390.13000  127901.05409
     394.29000  127935.97561
     432.46000  128247.47617
     446.24000  128356.71233
     453.43000  128413.44779
     459.50000  128458.72908
     470.60000  128537.52041
     480.37000  128607.61387
     485.71000  128642.45793
     487.97000  128658.98095
     504.63000  128761.49353
     504.87000  128768.39312
     523.66000  128873.43858
     528.17000  128904.09417
     529.80000  128906.32918
     555.60000  129038.50400
     556.38000  129046.59490
     561.44000  129067.05853
     569.62000  129105.14258
     588.80000  129185.89025
     603.80000  129245.21117
     624.83000  129319.95811
     658.51000  129437.41459
     687.92000  129533.49771
     689.41000  129537.95403
     700.40000  129568.27199
     705.35000  129581.48587
     710.50000  129598.66728
     745.05000  129682.82723
     754.26000  129700.14487
     771.09000  129737.20734
     792.18000  129781.18793
     802.96000  129804.38738
     819.91000  129835.77293
     868.30000  129923.12457
     914.32000  129997.58187
     919.56000  130000.07315
     936.41000  130023.39948
     995.89000  130098.78570
    1005.50000  130109.84326
    1018.90000  130123.69671
    1092.00000  130190.72584
    1130.80000  130221.77044
    1183.30000  130257.64294
    1238.90000  130289.13695
    1401.40000  130362.19797
    1428.10000  130371.08302
    1760.20000  130442.79232
    2390.50000  130505.25134
