 Squeeze 5 - Near well squeeze treatment simulator

 CF02 Isotherm Derivation                                                      
 title2                                                                        

 This is the linear CORE FLOOD model.
 (Note that cgs units are in use here)

 The equilibrium isotherm is defined by the table:

          Mobile Concentration       Adsorped Concentration
            (ppm/ft^3 water)             (ppm/ft^3 rock)   
          --------------------       ----------------------
                   0.0000                        0.00
                   1.8000                       35.11
                   4.4700                       93.19
                   5.6500                      115.63
                   6.3800                      130.40
                   6.8800                      136.54
                   7.7600                      152.85
                  15.6000                      202.93
                  28.6000                      271.61
                  31.8000                      282.78
                  44.0000                      311.91
                  83.3000                      389.11
                 242.0000                      651.80
                 421.0000                      911.67
                 529.0000                     1054.64
                 651.0000                     1200.53
                7019.0000                     8272.04
                9836.0000                    11043.98
               21654.0000                    20584.04
               27084.0000                    23780.07
              139998.0000                    72002.15
              235262.0000                   107823.60
              256612.0000                   115529.18
              258444.0000                   115951.47
              260156.0000                   116406.70
              260543.0000                   116528.05


 The simulation assumes that the adsorption level is always at equilibrium.


      Stage  Duration  Core Flow Rate  Well Conc.  Dispersion  Time Step
       No.    (hours)    (cm3/hour)      (ppm)       (cm2/s) 
      -----  --------  --------------  ----------  ----------  ---------

                 * Non-equilibrium shut-in inputted changed
                   to an equilibrium shut-in as the system
                   is already assumed to be at equilibrium.

  Output at    416 time steps, out of a total of   4166 in simulation.

 Simulating ...

     Elapsed      Cumulative Water    Inhibitor Conc.    Cumulative Inhibitor
  Time  (hours)   Flow (Pore Vols)   in Effluent (ppm)   Production (ppm.cm3)
  -------------   ----------------   -----------------   --------------------
      0.010               0.061            0.00000000                   0.00
      0.020               0.121            0.00000000                   0.00
      0.030               0.182            0.00000000                   0.00
      0.040               0.242            0.00000000                   0.00
      0.050               0.303            0.00000000                   0.00
      0.060               0.364            0.00000000                   0.00
      0.070               0.424            0.00000000                   0.00
      0.080               0.485            0.00000000                   0.00
      0.090               0.545            0.00000000                   0.00
      0.100               0.606            0.00000000                   0.00
      0.110               0.667            0.00000000                   0.00
      0.120               0.727            0.00000000                   0.00
      0.130               0.788            0.00000000                   0.00
      0.140               0.848            0.00000000                   0.00
      0.150               0.909            0.00000000                   0.00
      0.160               0.970            0.00000000                   0.00
      0.170               1.030            0.00000000                   0.00
      0.180               1.091            0.00000000                   0.00
      0.190               1.151            0.00000000                   0.00
      0.200               1.212            0.00000000                   0.00
      0.210               1.273            0.00000000                   0.00
      0.220               1.333            0.00000000                   0.00
      0.230               1.394            0.00000000                   0.00
      0.240               1.454            0.00000000                   0.00
      0.250               1.515            0.00000000                   0.00
      0.260               1.576            0.00000000                   0.00
      0.270               1.636            0.00000000                   0.00
      0.280               1.697            0.00000000                   0.00
      0.290               1.757            0.00000000                   0.00
      0.300               1.818            0.00000000                   0.00
      0.310               1.879            0.00000000                   0.00
      0.320               1.939            0.00000000                   0.00
      0.330               2.000            0.00000000                   0.00
