SQZV5.0
Case 5  - Deriving An Effective Pseudo Isotherm From Coreflood 
Inhibitor Effluent Profile and Coreflood Modelling.
iModel      nEcho       nDebug 
5           1           0 
LCore(cm)		Dcore(cm)      Phi        Rho(g/cm**3=2,65)
13.9900     2.5500      0.2330      2.6500      
VI(cm**3)	Vd(cm**3)	CI(ppm)	CShut(ppm)
88.7500     3.2600      32640.0000  25483.0000  
TolItr
1.0000e-08
nX          Nstages     NIters      Nfreq       NoTstep     IsCon   nXtra
30          3           15          10          0           0           10 
Qw(ml/h)  tspan(h)		dt(h)		CI(ppm) 	Disp   OperCode
30.0000     2.9583      0.00100000 	32640.0000   0.0000      1
0.0000      6.0000      0.01000000 	50042.5000   0.0000      5
30.0000     862.1670    0.01000000 	0.0000       0.0000      2
IAnim	     nLife
1           0 
Experimental Effluemt Data
InjVol(pv)		C(ppm) 
0.0450      11.6728 
0.1045      13.6243 
0.2547      12.7931 
0.4048      13.1183 
0.5550      42.6436 
0.7051      701.0891 
0.8553      3686.1386 
1.0054      10781.5385 
1.1556      16509.2308 
1.3057      20177.9487 
1.4559      22124.6154 
1.6060      23247.6923 
1.9063      24033.8462 
2.2066      24595.3846 
2.5069      25669.9179 
2.8072      25782.3409 
3.4078      27281.3142 
3.7081      27955.8522 
4.0084      28480.4928 
4.3087      28368.0698 
5.3598      25483.0275 
5.5099      16709.6330 
5.6601      19723.3945 
5.8102      19991.2844 
5.9604      19924.3119 
6.1105      20594.0367 
6.2607      20962.3853 
6.4108      17613.7615 
6.5610      12099.0741 
6.7111      8313.8889 
6.8613      6150.9259 
7.0114      4562.5000 
7.3117      3102.5000 
7.6120      2237.3148 
7.9123      1865.5556 
8.2126      1456.6204 
8.5129      1255.3271 
8.8132      1129.1121 
9.1135      1019.9533 
9.4138      938.0841 
9.7141      876.6822 
10.0144     849.3925 
10.3147     723.1776 
10.6150     658.3645 
10.9153     625.7143 
11.2156     590.9524 
11.8162     542.2857 
12.7171     469.2857 
13.3177     427.5714 
14.2186     375.4286 
14.8943     345.1857 
16.6961     251.3286 
17.8973     214.5236 
19.8492     166.3160 
22.2517     127.0613 
25.8553     97.4481 
28.2577     88.1509 
31.8613     81.2642 
34.2637     78.8538 
37.8673     65.7689 
40.8703     62.6698 
43.8733     59.5708 
46.8763     56.1274 
49.8793     53.3726 
55.8853     48.8962 
61.8913     44.0755 
67.8973     40.6321 
81.7111     37.9038 
91.0204     32.7110 
98.2276     30.3819 
107.8372    28.1571 
116.2456    26.9752 
131.8613    24.1248 
148.6781    21.5524 
165.4949    19.8490 
175.1045    18.9800 
190.7201    18.3904 
200.3297    16.2846 
207.5369    15.8635 
215.9453    15.2668 
239.9694    13.4306 
257.9874    12.6510 
280.8102    11.1626 
306.0354    10.3476 
332.4619    9.7451 
357.6871    9.2490 
382.9123    8.7529 
408.1375    7.8316 
433.3628    7.4417 
452.2817    6.9811 
496.4258    6.5218 
544.0234    6.1883 
586.5910    6.0030 
629.5339    5.8919 
675.0294    4.4467 
721.4258    5.2038 
786.7411    4.8007 
873.4529    4.2877 
981.7862    3.9945 
1086.5159   3.8845 
1191.0204   3.9234 
1302.7321   4.0490 
1393.9483   4.0416 
1479.7592   4.0047 
1557.2366   3.9160 

