Squeeze V - Near well squeeze treatment simulator


This is the MULTI-LAYER RADIAL model.

Well Geometry:

           0.50 feet        30  annuli, each  1.6500 feet of radius
          |<------>|
                                                   \    \    \    \
 (        +        )    )    )   . . . . . . . . .  |    |    |    |
                                                   /    /    /    /
 |<-- Well Bore -->|
          |<-------------------  50.00 feet ---------------------->|

Stage   Duration       Well Mode    Well  Rate    Well Conc.     Well Temp. 
 No.   (Hours/days)                  (Bpm/Bpd)  WatComp 1 (ppm)     (deg C)
-----  ------------  -------------  ----------  ---------------  ---------- 
  1           2.400  Inh.Injection       7.343	     150000.000	     111.000
  2          21.600  Water Inject        7.343	          0.000	     111.000
  3          12.000  Shut-in             0.000	          0.000	     111.000
  4           8.000  Production       7345.000	          0.000	     111.000

 Simulating ...

	Elapsed Time	Well Concentration  Cumulative Production     Recovered     Well Bottomhole Temp.
       (days)          Comp 1 (ppm)      Comp 1 (ppm.bbls)     Comp 1 (percent)          (deg C)      
    ------------    ------------------  ---------------------  ----------------  ----------------
          0.010               0.00000               0.00000              22.39719
          0.020               0.00000               0.00000              20.07770
          0.030               0.00000               0.00000              20.00644
          0.040               0.00000               0.00000              20.00185
          0.050               0.00000               0.00000              20.00108
          0.060               0.00000               0.00000              20.00090
          0.070               0.00000               0.00000              20.00086
          0.080               0.00000               0.00000              20.00085
          0.090               0.00000               0.00000              20.00085
          0.100               0.00000               0.00000              20.00085
          0.110               0.00000               0.00000              20.00085
          0.120               0.00000               0.00000              20.00085
          0.130               0.00000               0.00000              20.00085
          0.140               0.00000               0.00000              20.00085
          0.150               0.00000               0.00000              20.00085
          0.160               0.00000               0.00000              20.00085
          0.170               0.00000               0.00000              20.00085
          0.180               0.00000               0.00000              20.00085
          0.190               0.00000               0.00000              20.00085
          0.200               0.00000               0.00000              20.00085
          0.210               0.00000               0.00000              20.00085
          0.220               0.00000               0.00000              20.00085
          0.230               0.00000               0.00000              20.00085
          0.240               0.00000               0.00000              20.00085
          0.250               0.00000               0.00000              20.00085
          0.260               0.00000               0.00000              20.00085
          0.270               0.00000               0.00000              20.00085
          0.280               0.00000               0.00000              20.00085
          0.290               0.00000               0.00000              20.00085
          0.300               0.00000               0.00000              20.00085
          0.310               0.00000               0.00000              20.00085
          0.320               0.00000               0.00000              20.00085
          0.330               0.00000               0.00000              20.00085
          0.340               0.00000               0.00000              20.00085
          0.350               0.00000               0.00000              20.00085
          0.360               0.00000               0.00000              20.00085
          0.370               0.00000               0.00000              20.00085
          0.380               0.00000               0.00000              20.00085
          0.390               0.00000               0.00000              20.00085
          0.400               0.00000               0.00000              20.00085
          0.410               0.00000               0.00000              20.00085
          0.420               0.00000               0.00000              20.00085
          0.430               0.00000               0.00000              20.00085
          0.440               0.00000               0.00000              20.00085
          0.450               0.00000               0.00000              20.00085
          0.460               0.00000               0.00000              20.00085
          0.470               0.00000               0.00000              20.00085
          0.480               0.00000               0.00000              20.00085
          0.490               0.00000               0.00000              20.00085
          0.500               0.00000               0.00000              20.00085
          0.510               0.00000               0.00000              20.00085
          0.520               0.00000               0.00000              20.00085
          0.530               0.00000               0.00000              20.00085
          0.540               0.00000               0.00000              20.00085
