nPts
45
t(day/1000bbl,day/100m3)	C(ppm)
0.050000		1000.000000 
0.500000		15000.000000 
1.900000		1000.000000 
2.068000		839.000000 
2.273000		4330.000000 
2.675000		3820.000000 
3.014000		5260.000000 
3.225000		3250.000000 
3.325000		2600.000000 
3.409000		1860.000000 
3.494000		1540.000000 
3.562000		1260.000000 
3.625000		877.000000 
3.683000		831.000000 
3.742000		825.000000 
3.871000		641.000000 
3.986000		529.000000 
4.109000		473.000000 
4.217000		379.000000 
4.326000		368.000000 
4.450000		302.000000 
4.602000		226.000000 
4.771000		240.000000 
4.968000		240.000000 
5.036000		190.000000 
5.103000		198.000000 
5.171000		214.000000 
11.046000		16.400000 
13.434000		26.800000 
15.958000		8.100000 
18.618000		9.000000 
60.625000		29.400000 
87.910000		25.500000 
115.159000		16.200000 
208.556000		5.600000 
248.861000		15.000000 
290.252000		3.500000 
373.540000		6.100000 
397.177000		6.700000 
446.095000		0.100000 
456.190000		3.800000 
487.770000		6.600000 
602.766000		2.200000 
657.526000		2.200000 
689.526000		0.900000 
