nPts
53
t(day/1000bbl,day/100m3)	C(ppm)
0.001000		1162.941500 
6.969500		1180.078100 
7.060000		1081.408200 
7.211000		1253.248100 
7.362000		1183.172100 
7.554000		1212.251200 
7.746000		1370.387600 
8.011400		1298.169300 
8.276800		1346.847900 
8.521800		1801.230600 
8.688500		2331.333600 
8.888500		2233.240400 
9.145500		2560.713700 
9.712500		3284.498400 
10.279500		3898.329400 
10.869500		2808.631400 
11.469500		2543.840300 
12.059500		1851.635700 
12.639600		1795.623400 
13.819500		2012.302300 
14.979500		1743.023000 
16.159500		1641.134600 
17.319600		1062.190100 
18.459600		855.418600 
257.859500		46.000000 
367.299500		22.000000 
517.779500		94.000000 
750.339500		94.000000 
955.539500		84.000000 
1133.379500		56.000000 
1420.659500		69.000000 
1639.539500		120.000000 
2008.899500		40.000000 
2200.419500		77.000000 
2391.939500		38.000000 
2761.299500		43.000000 
2878.149500		74.000000 
3335.859500		108.000000 
3910.419500		105.000000 
4000.194500		91.000000 
4307.139500		89.000000 
4484.979500		33.000000 
4676.499500		65.000000 
4963.779500		52.000000 
5175.819500		44.000000 
10894.689500		18.000000 
11192.049500		10.000000 
11340.729500		33.000000 
11468.169500		9.000000 
11712.429500		8.000000 
11999.169500		4.000000 
12147.849500		7.000000 
12370.869500		19.000000 
