nPts
26
t(day/1000bbl,day/100m3)	C(ppm)
0.001000		3086.971400 
0.380000		2979.052900 
1.350000		10472.777700 
2.368000		11382.477400 
3.328000		12700.920700 
5.708000		13937.680400 
6.708000		15795.448400 
8.079000		16038.305000 
8.079000		15029.135000 
8.680000		10519.761300 
10.704000		6646.364200 
15.014000		3457.000700 
18.713000		1514.241900 
36.011000		8108.896800 
41.939000		7777.843000 
98.109000		96.000000 
130.263000		56.000000 
170.823000		43.000000 
216.268000		55.000000 
245.029000		23.000000 
326.862000		15.000000 
378.056000		12.000000 
411.262000		12.000000 
539.208000		10.000000 
593.667000		8.000000 
637.081000		135.000000 
