nPts
33
t(day/1000bbl,day/100m3)	C(ppm)
2.855600		1240.800000 
2.855600		1095.100000 
13.240100		1059.200000 
13.240100		6463.100000 
13.240100		5936.100000 
24.159200		31895.000000 
94.554800		238.800000 
114.254500		94.100000 
165.566800		57.900000 
206.865700		50.900000 
271.160200		56.200000 
320.258500		40.100000 
378.382600		40.400000 
430.921400		53.000000 
477.812000		30.600000 
519.840500		29.400000 
565.479400		25.600000 
613.502200		53.600000 
654.788500		20.800000 
695.099900		8.700000 
739.657000		19.800000 
784.195100		21.200000 
825.544400		15.900000 
871.931800		22.900000 
901.701400		20.000000 
938.968600		14.500000 
974.619300		17.100000 
1027.202100		17.600000 
1066.941100		19.220000 
1105.950600		14.190000 
1132.581600		15.860000 
1161.804100		16.700000 
-92559631349317831000000000000000000000000000000000000000000000.000000		-92559631349317831000000000000000000000000000000000000000000000.000000 
