nPts
68
t(day/1000bbl,day/100m3)	C(ppm)
0.000000		2990.000000 
0.127000		6170.000000 
0.368000		5920.000000 
0.949000		6580.000000 
1.414000		5550.000000 
1.777000		4620.000000 
2.205000		4560.000000 
2.634000		3440.000000 
3.117000		3220.000000 
3.660000		3500.000000 
4.234000		5060.000000 
4.814000		3700.000000 
5.900000		4330.000000 
7.227000		7320.000000 
8.386000		15820.000000 
9.500000		15560.000000 
10.800000		11510.000000 
11.935000		7920.000000 
13.600000		3085.000000 
15.400000		1425.000000 
17.400000		800.000000 
18.800000		595.000000 
20.500000		437.000000 
22.350000		370.000000 
25.800000		289.000000 
33.800000		87.000000 
47.800000		137.000000 
61.600000		132.000000 
75.500000		120.000000 
89.400000		102.000000 
103.300000		110.000000 
117.200000		101.000000 
228.000000		73.000000 
325.000000		32.000000 
477.000000		32.000000 
655.000000		24.000000 
858.000000		29.000000 
1035.000000		16.000000 
1162.000000		10.000000 
1391.000000		9.000000 
1644.000000		8.200000 
1745.000000		7.700000 
1974.000000		12.200000 
2101.000000		6.900000 
2227.000000		6.000000 
2456.000000		4.800000 
2583.000000		4.600000 
2786.000000		3.600000 
3040.000000		3.500000 
3166.000000		3.000000 
3293.000000		3.500000 
3496.000000		4.600000 
3851.000000		3.000000 
4054.000000		2.900000 
4181.000000		2.200000 
4206.000000		3.200000 
4333.000000		1.600000 
4485.000000		1.800000 
4755.000000		2.900000 
4877.000000		3.300000 
5122.000000		2.200000 
5416.000000		3.300000 
5588.000000		3.300000 
5784.000000		3.200000 
5907.000000		1.800000 
6127.000000		2.100000 
6397.000000		1.900000 
6469.000000		1.000000 
