nPts
35
t(day/1000bbl,day/100m3)	C(ppm)
0.382000		3590.000000 
1.164000		8320.000000 
2.512000		9500.000000 
3.005000		10.200000 
3.456000		11.200000 
3.877000		9020.000000 
4.291000		7980.000000 
4.722000		7620.000000 
5.240000		7982.000000 
6.343000		8500.000000 
7.347000		6560.000000 
8.606000		5630.000000 
9.860000		3700.000000 
11.200000		2670.000000 
12.455000		1820.000000 
14.526000		1040.000000 
16.632000		742.000000 
18.623000		583.000000 
20.462000		453.000000 
22.453000		425.000000 
24.292000		409.000000 
26.283000		376.000000 
28.122000		295.000000 
26.893000		251.000000 
272.000000		37.300000 
379.200000		32.300000 
486.500000		23.000000 
593.757000		16.200000 
1130.000000		17.200000 
1482.000000		2.400000 
1605.000000		4.500000 
1942.000000		6.200000 
2187.000000		4.300000 
2356.000000		4.900000 
2525.000000		5.200000 
