nPts
34
t(day/1000bbl,day/100m3)	C(ppm)
1.000000		1400.000000 
2.000000		634.000000 
3.000000		374.000000 
4.000000		160.000000 
9.000000		268.000000 
10.000000		160.000000 
86.000000		28.000000 
87.000000		28.000000 
88.000000		26.000000 
89.000000		30.000000 
90.000000		33.000000 
91.000000		30.000000 
92.000000		34.000000 
93.000000		31.000000 
94.000000		29.000000 
95.000000		24.000000 
96.000000		18.000000 
97.000000		17.000000 
98.000000		39.000000 
100.000000		25.000000 
101.000000		23.000000 
105.000000		26.000000 
112.000000		14.000000 
118.000000		21.000000 
132.000000		6.000000 
140.000000		3.000000 
146.000000		16.000000 
152.000000		11.000000 
161.000000		15.000000 
174.000000		16.000000 
181.000000		10.000000 
188.000000		8.000000 
196.000000		12.000000 
201.000000		11.000000 
