nPts
51
t(day/1000bbl,day/100m3)	C(ppm)
1.154200		0.100000 
1.175000		135.000000 
1.195900		132.000000 
1.216700		178.000000 
1.237500		195.000000 
1.258400		142.000000 
1.279200		1349.000000 
1.300000		1346.000000 
1.320900		1420.000000 
1.341700		1488.000000 
1.362500		1690.000000 
1.383400		1537.000000 
1.404200		1943.000000 
1.425000		2385.000000 
1.445900		2406.000000 
1.466700		2806.000000 
1.487500		2934.000000 
1.508400		3909.000000 
1.529200		3855.000000 
1.550000		5443.000000 
1.570900		5996.000000 
1.591700		6866.000000 
1.612500		8441.000000 
1.633400		9695.000000 
1.654200		11108.000000 
1.675000		12188.000000 
1.716700		23194.000000 
1.758400		19793.000000 
1.800000		10205.000000 
1.841700		6258.000000 
1.883700		5472.000000 
1.925000		4072.000000 
1.966700		3280.000000 
2.008400		2723.000000 
2.050000		2231.000000 
2.091700		2050.000000 
2.133300		1535.000000 
2.175000		1620.000000 
8.175000		105.000000 
10.175000		172.000000 
16.175000		116.000000 
28.175000		121.000000 
48.175000		83.000000 
53.175000		68.000000 
94.175000		25.000000 
156.180000		17.000000 
164.180000		15.000000 
177.180000		8.000000 
205.180000		7.000000 
225.180000		4.000000 
233.180000		5.000000 
