nPts
65
t(day/1000bbl,day/100m3)	C(ppm)
26.291000		2703.000000 
26.291000		581.000000 
26.291000		469.000000 
26.291000		476.000000 
26.291000		516.000000 
26.291000		526.000000 
26.291000		551.000000 
26.291000		593.000000 
26.291000		597.000000 
26.291000		672.000000 
26.291000		792.000000 
26.291000		915.000000 
26.291000		1204.000000 
26.291000		1510.000000 
26.291000		1836.000000 
26.291000		2040.000000 
26.291000		2285.000000 
26.291000		2519.000000 
26.291000		2632.000000 
26.291000		2713.000000 
26.291000		2734.000000 
26.291000		2795.000000 
26.291000		2836.000000 
26.291000		2795.000000 
26.291000		2774.000000 
26.291000		2662.000000 
26.291000		2703.000000 
26.291000		2713.000000 
26.291000		2744.000000 
26.291000		2846.000000 
26.291000		2938.000000 
26.291000		3080.000000 
27.628000		3040.000000 
29.305000		2805.000000 
30.650000		2581.000000 
31.997000		2275.000000 
33.357000		1836.000000 
36.032000		1173.000000 
39.041000		766.000000 
41.717000		544.000000 
44.393000		421.000000 
47.395000		329.000000 
50.041000		285.000000 
52.717000		232.000000 
55.717000		209.000000 
58.384000		189.000000 
61.038000		167.000000 
64.034000		160.000000 
66.697000		148.000000 
72.361000		137.000000 
77.686000		138.000000 
83.341000		128.000000 
88.895000		124.000000 
94.889000		125.000000 
100.887000		122.000000 
148.662000		108.000000 
319.573000		69.000000 
603.693000		46.000000 
1051.038000		30.000000 
1273.584000		26.000000 
1569.559000		26.000000 
1867.568000		80.000000 
2532.455000		11.000000 
2917.101000		14.000000 
3269.671000		132.000000 
