nPts
60
t(day/1000bbl,day/100m3)	C(ppm)
33.500000		1622.000000 
34.410000		1673.000000 
35.330000		1703.000000 
36.260000		1407.000000 
37.190000		1377.000000 
38.140000		1387.000000 
39.120000		1591.000000 
40.100000		1703.000000 
41.110000		2030.000000 
42.120000		2223.000000 
43.130000		2499.000000 
44.140000		2774.000000 
45.150000		2733.000000 
46.160000		3192.000000 
47.180000		3427.000000 
48.190000		3560.000000 
49.200000		3692.000000 
50.210000		3764.000000 
51.230000		3855.000000 
52.240000		3937.000000 
53.260000		3968.000000 
54.270000		4039.000000 
55.290000		4070.000000 
56.310000		4080.000000 
57.320000		4070.000000 
59.350000		3988.000000 
61.380000		3886.000000 
63.420000		3509.000000 
65.450000		2978.000000 
67.490000		2499.000000 
69.540000		2142.000000 
71.580000		1968.000000 
73.610000		1785.000000 
75.650000		1652.000000 
77.680000		1530.000000 
80.220000		1448.000000 
81.750000		1387.000000 
85.830000		1112.000000 
89.900000		874.000000 
93.980000		726.000000 
98.060000		610.000000 
102.140000		551.000000 
106.230000		507.000000 
110.430000		475.000000 
114.620000		446.000000 
118.820000		422.000000 
122.770000		391.000000 
132.810000		343.000000 
145.670000		317.000000 
160.110000		207.000000 
160.110000		318.000000 
656.240000		74.000000 
2289.370000		23.000000 
3306.360000		14.000000 
3589.830000		16.000000 
5782.600000		7.000000 
7113.300000		6.000000 
8381.430000		4.000000 
11317.440000		5.000000 
12929.230000		22.000000 
