nPts
20
t(day/1000bbl,day/100m3)	C(ppm)
4.207000		3670.000000 
5.372000		2620.000000 
6.210000		2680.000000 
7.421000		2650.000000 
8.390000		3696.000000 
11.418000		4192.000000 
14.446000		1453.000000 
16.194000		239.000000 
35.080000		135.000000 
43.365000		136.000000 
51.430000		99.000000 
65.693000		100.000000 
76.747000		90.000000 
179.256000		72.000000 
243.746000		49.000000 
334.391000		53.000000 
464.082000		30.000000 
568.090000		34.000000 
656.351000		25.000000 
815.489000		21.000000 
