nPts
60
t(day/1000bbl,day/100m3)	C(ppm)
5.052000		27.000000 
5.055000		103.000000 
5.057000		2260.000000 
5.060000		8790.000000 
5.062000		10300.000000 
5.064000		10900.000000 
5.067000		8550.000000 
5.069000		7950.000000 
5.071000		6660.000000 
5.074000		5950.000000 
5.076000		3670.000000 
5.078000		3470.000000 
5.086000		3080.000000 
5.090000		2980.000000 
5.095000		2770.000000 
5.100000		2880.000000 
5.104000		2970.000000 
5.109000		3130.000000 
5.119000		3770.000000 
5.128000		5010.000000 
5.138000		5350.000000 
5.149000		5340.000000 
5.159000		5340.000000 
5.168000		4930.000000 
5.178000		4160.000000 
5.187000		3730.000000 
5.197000		2770.000000 
5.209000		2230.000000 
5.218000		1860.000000 
5.228000		1590.000000 
5.237000		1450.000000 
5.247000		1320.000000 
5.256000		1180.000000 
5.268000		1120.000000 
5.277000		1040.000000 
5.319000		863.000000 
5.443000		817.000000 
5.578000		716.000000 
5.702000		636.000000 
5.847000		419.000000 
5.961000		369.000000 
6.096000		332.000000 
6.220000		270.000000 
7.298000		235.000000 
9.765000		95.200000 
19.372000		73.700000 
30.041000		40.900000 
34.762000		45.400000 
41.458000		28.500000 
49.574000		27.200000 
1208.800000		8.870000 
1573.800000		15.200000 
1863.200000		7.310000 
2657.400000		1.000000 
2934.300000		4.700000 
3205.800000		1.000000 
3434.300000		13.400000 
3697.400000		9.000000 
3924.500000		3.000000 
4239.300000		1.000000 
