nPts
50
t(day/1000bbl,day/100m3)	C(ppm)
0.500000		283.300000 
0.900000		276.200000 
1.400000		277.250000 
1.800000		261.350000 
2.300000		938.290000 
2.700000		823.540000 
3.200000		624.980000 
3.600000		488.750000 
4.100000		66.700000 
4.500000		51.300000 
5.000000		37.500000 
5.400000		30.850000 
5.900000		30.600000 
6.300000		98.080000 
6.800000		98.120000 
7.200000		69.870000 
7.700000		71.450000 
8.100000		71.560000 
8.600000		56.370000 
9.000000		56.160000 
9.500000		43.120000 
9.900000		41.750000 
10.400000		9.420000 
10.800000		7.970000 
11.300000		7.330000 
11.800000		7.750000 
12.200000		7.090000 
12.700000		6.190000 
13.100000		5.270000 
13.600000		3.010000 
144.100000		1.150000 
273.900000		21.550000 
305.400000		20.540000 
410.900000		28.320000 
451.100000		8.460000 
567.800000		7.050000 
620.500000		9.360000 
718.900000		10.000000 
755.600000		0.450000 
807.900000		20.420000 
886.200000		20.660000 
951.600000		6.000000 
995.800000		0.410000 
1030.000000		11.530000 
1191.000000		16.230000 
1230.000000		6.430000 
1262.000000		8.700000 
1314.000000		50.000000 
1425.000000		21.000000 
1486.000000		62.000000 
