nPts
30
t(day/1000bbl,day/100m3)	C(ppm)
10.900000		1929.000000 
11.000000		2791.000000 
11.000000		2188.000000 
11.000000		2596.000000 
11.000000		2374.000000 
11.000000		2953.000000 
11.000000		2522.000000 
11.000000		2480.000000 
11.100000		2947.000000 
11.100000		4561.000000 
11.100000		4566.000000 
11.100000		4385.000000 
11.100000		4250.000000 
11.200000		7211.000000 
11.300000		9438.000000 
11.300000		8301.000000 
13.000000		14369.000000 
14.600000		12428.000000 
16.200000		11538.000000 
17.900000		2042.000000 
21.300000		272.000000 
44.400000		9.000000 
107.000000		71.000000 
139.800000		242.000000 
230.300000		363.000000 
248.800000		33.000000 
248.800000		30.000000 
435.100000		25.000000 
861.900000		28.000000 
1060.900000		75.000000 
