nPts
35
t(day/1000bbl,day/100m3)	C(ppm)
6.000000		1220.000000 
7.000000		3430.000000 
9.000000		11800.000000 
10.000000		17300.000000 
10.000000		13700.000000 
11.000000		8530.000000 
11.000000		6320.000000 
12.000000		4910.000000 
12.000000		3920.000000 
13.000000		3050.000000 
13.000000		2650.000000 
14.000000		2050.000000 
14.000000		1720.000000 
15.000000		1250.000000 
15.000000		1100.000000 
16.000000		940.000000 
16.000000		795.000000 
17.000000		685.000000 
17.000000		590.000000 
18.000000		480.000000 
20.000000		370.000000 
21.000000		270.000000 
24.000000		185.000000 
26.000000		115.000000 
41.000000		23.000000 
257.000000		46.000000 
548.000000		7.000000 
1364.000000		8.000000 
1697.000000		4.000000 
2039.000000		4.000000 
2907.000000		3.000000 
3551.000000		7.000000 
4045.000000		2.000000 
4833.000000		1.000000 
5997.000000		1.000000 
