nPts
61
t(day/1000bbl,day/100m3)	C(ppm)
3.461300		7340.000000 
3.469400		5460.000000 
3.474600		4720.000000 
3.477100		4090.000000 
3.514300		862.000000 
3.563500		892.000000 
3.580700		9880.000000 
3.657600		1430.000000 
3.686100		2000.000000 
3.699400		1930.000000 
3.745000		1920.000000 
3.790600		2310.000000 
3.831400		2390.000000 
3.871300		1810.000000 
3.917900		2490.000000 
3.979600		3040.000000 
4.022400		2660.000000 
4.091700		2930.000000 
4.224100		2230.000000 
4.335600		2780.000000 
4.449300		1650.000000 
4.553900		2880.000000 
4.575500		2860.000000 
4.601200		2930.000000 
4.621500		3417.000000 
4.782500		2767.000000 
4.848300		2109.000000 
4.940400		1599.000000 
5.080400		1469.000000 
5.220400		1243.000000 
5.609100		1062.000000 
5.829100		1212.000000 
6.269100		1060.000000 
6.669100		908.000000 
7.035800		543.000000 
7.452400		493.000000 
11.563700		203.000000 
13.708700		203.000000 
16.711700		153.000000 
20.143700		58.100000 
27.007700		78.800000 
34.300700		15.100000 
37.732700		19.300000 
43.738700		46.000000 
51.460700		9.500000 
60.469700		36.700000 
64.759700		28.400000 
72.481700		12.100000 
75.913700		16.300000 
87.496700		8.000000 
94.789700		1.400000 
100.076700		3.200000 
101.320700		4.000000 
110.028700		3.400000 
114.693700		1.000000 
115.315700		1.000000 
119.459000		4.000000 
147.459000		3.000000 
160.459000		5.000000 
161.459000		1.600000 
164.459000		2.400000 
