nPts
78
Ciso(ppm)		ADiso(mg/L rock)
3.884500		2213.056050 
3.916000		2213.972840 
3.923400		2226.438150 
3.994500		2247.401580 
4.004700		2254.718730 
4.041600		2270.754200 
4.049000		2273.771010 
4.287700		2329.459430 
4.446700		2390.269090 
4.800700		2457.834790 
5.203800		2549.400120 
5.891900		2673.857010 
6.003000		2694.165480 
6.188300		2725.630580 
6.521800		2777.693610 
6.981100		2842.995200 
7.441700		2904.069690 
7.831600		2953.155210 
8.752900		3062.080180 
9.249000		3116.932320 
9.745100		3167.982880 
10.347600		3225.255550 
11.162600		3296.334110 
12.651000		3415.279500 
13.430600		3472.745060 
15.266800		3596.368710 
15.863500		3633.602560 
16.284600		3658.880250 
18.390400		3779.907830 
18.980000		3811.535150 
19.849000		3854.820480 
21.552400		3932.830390 
24.124800		4037.496120 
26.975200		4139.431500 
28.157100		4177.385560 
30.381900		4242.741250 
32.711000		4305.211610 
37.903800		4431.464030 
40.632100		4488.214840 
44.075500		4549.474150 
48.896200		4626.440720 
53.372600		4689.743010 
56.127400		4724.929960 
59.570800		4765.771110 
62.669800		4799.700350 
65.768900		4830.803530 
78.853800		4948.995710 
81.264200		4968.569280 
88.150900		5018.210040 
97.448100		5076.744780 
127.061300		5236.173340 
166.316000		5411.697970 
214.523600		5595.370750 
251.328600		5717.972320 
345.185700		5987.810060 
375.428600		6063.377270 
427.571400		6181.178580 
469.285700		6265.906240 
542.285700		6397.530970 
590.952400		6474.181750 
625.714300		6524.175510 
658.364500		6568.153740 
723.177600		6649.541230 
849.392500		6796.518550 
876.682200		6825.807900 
938.084100		6886.107620 
1019.953300		6959.038690 
1129.112100		7046.321940 
1255.327100		7135.729280 
1456.620400		7259.957040 
1865.555600		7475.025280 
2237.314800		7636.627940 
3102.500000		7933.794570 
4562.500000		8302.074140 
6150.925900		8594.082100 
8313.888900		8893.051380 
12099.074100		9243.595040 
17613.761500		9502.766980 
