nPts
61
Ciso(ppm)		ADiso(mg/L rock)
2.212100		304.365910 
2.727600		375.294560 
2.799800		383.838340 
2.834100		387.985880 
2.835900		387.718340 
2.843900		389.216480 
3.034400		409.771260 
3.088600		415.596640 
3.359300		443.711770 
3.702300		478.094880 
3.846700		492.047360 
3.936900		500.436440 
4.189600		523.024470 
4.207700		524.565100 
4.424300		542.020970 
4.550600		551.720750 
4.749200		566.288720 
4.857500		573.999620 
4.929700		579.015820 
5.019900		585.010590 
5.796100		633.922610 
6.030700		648.684260 
6.247300		660.877670 
6.536100		675.306760 
6.806900		688.638220 
7.276200		710.124510 
7.492800		719.294820 
7.944000		736.842580 
8.669000		762.540270 
9.120300		777.370200 
9.391000		785.799080 
9.887400		800.400320 
10.654500		821.642190 
11.511900		843.907190 
11.782600		850.470300 
12.279000		861.650150 
13.181500		879.643470 
14.084000		895.304130 
14.806000		906.588590 
15.482900		916.001800 
17.889500		945.321990 
19.514000		962.594400 
22.582500		990.990210 
25.651000		1015.156160 
32.329500		1058.546470 
35.759000		1076.691430 
46.408500		1122.026190 
119.530000		1332.507030 
188.120000		1447.211880 
494.970000		1748.870270 
1668.600000		2440.051650 
1957.400000		2588.361930 
2246.200000		2721.742690 
2751.600000		2929.032350 
3545.800000		3213.717050 
5206.400000		3723.122130 
7589.000000		4330.839120 
10260.400000		4874.155810 
16253.000000		5783.238480 
24483.800000		6606.366650 
29465.600000		6847.041530 
