nPts
25
Ciso(ppm)		ADiso(mg/L rock)
1.800000		33.111530 
4.470000		91.195800 
5.650000		113.629530 
6.380000		128.399430 
6.880000		134.541540 
7.760000		150.850460 
15.600000		200.934690 
28.600000		269.607670 
31.800000		280.782430 
44.000000		309.908490 
83.300000		387.114930 
242.000000		649.797850 
421.000000		909.669160 
529.000000		1052.640250 
651.000000		1198.528930 
7019.000000		8270.029890 
9836.000000		11041.973710 
21654.000000		20582.031810 
27084.000000		23778.039220 
139998.000000		72000.081440 
235262.000000		107821.669510 
256612.000000		115527.184970 
258444.000000		115949.460510 
260156.000000		116404.693700 
260543.000000		116526.037540 
