nPts
67
Ciso(ppm)		ADiso(mg/L rock)
42.700000		29681.810040 
43.100000		29959.860190 
44.300000		30675.960660 
46.100000		31696.988850 
50.800000		34270.534420 
55.800000		36910.036360 
57.500000		37774.040770 
66.100000		41975.681600 
74.600000		45961.228640 
85.500000		50857.649110 
105.000000		58082.650410 
109.000000		58895.771960 
114.000000		59362.942650 
116.000000		59523.215920 
122.000000		59982.173250 
128.000000		60419.268070 
132.000000		60696.094620 
133.000000		60759.836260 
143.000000		61342.602630 
149.000000		61670.407450 
155.000000		61976.349780 
162.000000		62318.706240 
163.000000		62355.122880 
164.000000		62398.827010 
171.000000		62646.455970 
173.000000		62712.004250 
179.000000		62886.786570 
189.000000		63138.007940 
192.000000		63203.538110 
194.000000		63244.310380 
199.000000		63342.597940 
200.000000		63360.798080 
208.000000		63493.283180 
215.000000		63604.107260 
218.000000		63649.963800 
220.000000		63674.796570 
230.000000		63768.447950 
233.000000		63794.357110 
239.000000		63843.989180 
257.000000		63986.328900 
270.000000		64103.976560 
274.000000		64129.413610 
295.000000		64274.799560 
296.000000		64273.326880 
298.000000		64281.855280 
327.000000		64450.791760 
332.000000		64479.855570 
361.000000		64643.144050 
373.000000		64694.310700 
409.000000		64877.339640 
454.000000		65097.930190 
511.000000		65369.557270 
534.000000		65477.065300 
565.000000		65619.142560 
645.000000		65978.513540 
760.000000		66484.629950 
939.000000		67256.099770 
1210.000000		68399.418220 
1470.000000		69070.062150 
1680.000000		69267.435860 
1970.000000		69513.587790 
2430.000000		69862.135430 
3090.000000		70302.107770 
4620.000000		71182.698910 
9230.000000		73416.127570 
16400.000000		76236.714260 
19700.000000		77234.303480 
