nPts
33
Ciso(ppm)		ADiso(mg/L rock)
221.300000		273917.794920 
333.100000		331468.732770 
345.500000		337206.376860 
349.500000		338444.699500 
523.700000		371741.091050 
567.100000		377137.506760 
580.300000		378604.150470 
581.800000		378763.634980 
602.800000		380851.671990 
670.100000		386997.607450 
729.400000		391904.866900 
807.500000		397697.619480 
856.200000		400891.795240 
983.400000		408144.797430 
1200.900000		418680.130860 
1303.100000		422753.431610 
1548.000000		430415.814900 
1760.700000		435702.397070 
1769.800000		435969.425580 
1773.000000		435973.713090 
1868.700000		437950.710300 
1869.000000		437988.150470 
1895.200000		438464.433040 
1995.600000		440302.884930 
2022.400000		440764.830740 
2072.000000		441566.480530 
2128.900000		442424.976600 
2229.900000		443841.712700 
2255.400000		444172.355280 
2432.700000		446280.786680 
2640.100000		448524.314660 
2938.600000		451510.700030 
4409.900000		465196.865210 
