nPts
28
Ciso(ppm)		ADiso(mg/L rock)
8.379670		4233.778960 
8.389570		4236.971090 
8.512240		4276.714610 
8.547850		4287.845360 
8.552800		4289.423150 
8.882240		4386.175160 
9.657850		4597.512480 
10.282680		4753.200710 
11.298610		4981.333130 
12.446600		5211.739240 
12.873290		5288.360820 
14.491640		5542.122240 
15.944730		5734.768020 
18.902450		6057.647780 
23.292650		6434.571100 
32.392530		6991.767460 
55.886260		7743.501510 
56.473800		7752.424750 
59.794320		7798.376020 
62.362970		7830.274180 
64.873250		7857.881980 
67.889470		7886.770120 
73.824620		7935.184680 
77.628950		7960.814240 
84.449500		7997.076490 
93.712220		8033.166720 
106.156570		8063.978470 
126.005260		8084.931480 
