nPts
71
Ciso(ppm)		ADiso(mg/L rock)
0.498600		42.174660 
0.812000		62.423830 
1.217000		81.192310 
1.732000		99.404900 
3.300000		141.257220 
4.355400		162.426400 
4.682600		168.807140 
4.845300		171.494990 
5.615200		183.833340 
6.001100		191.240920 
6.474000		197.171850 
6.905300		203.657410 
7.212400		209.369690 
7.820300		217.308750 
8.136700		221.565500 
8.201000		222.468820 
8.569000		227.115260 
8.623000		227.740410 
9.929500		243.511330 
10.958000		254.316170 
12.424600		269.844630 
13.389500		278.859060 
13.393300		278.895530 
16.359400		307.061020 
17.028800		313.674240 
17.850700		319.532440 
18.704000		327.249590 
19.416100		331.870180 
20.884300		339.655140 
22.183000		347.627770 
27.184100		375.856870 
28.153300		380.848470 
33.464500		405.576750 
40.442700		434.616700 
44.901000		450.966080 
55.562200		484.792250 
70.235900		524.095330 
88.168700		568.604370 
95.594600		580.601820 
99.127000		586.046910 
101.889900		593.231580 
107.937700		599.813550 
115.484800		609.768270 
117.025400		611.686100 
119.246200		615.568150 
128.209600		624.779510 
142.475000		640.422290 
156.380300		654.639080 
170.485600		668.014410 
190.296400		685.330940 
201.440600		694.245660 
236.378100		719.602950 
274.406700		744.383810 
366.732700		797.700670 
516.406700		873.036390 
779.963000		986.149300 
950.043900		1051.471720 
1354.934300		1199.759230 
1932.381100		1399.932600 
2291.228100		1517.421510 
3930.446200		2022.002450 
5605.526400		2504.235670 
7994.493300		3145.190780 
11244.501200		3961.424410 
11401.591600		3999.338790 
16260.729400		5112.668340 
23190.737700		6564.728130 
33074.181500		8442.024730 
37688.636100		9364.818730 
40422.522300		9727.245970 
48553.170700		9999.479370 
