nPts
46
Ciso(ppm)		ADiso(mg/L rock)
1.860000		62.166410 
1.890000		63.169570 
2.340000		77.200210 
2.500000		81.827370 
3.400000		105.821550 
4.110000		123.146050 
4.990000		142.630310 
5.590000		154.559340 
7.410000		186.631760 
9.320000		215.813730 
10.470000		231.077830 
11.590000		244.424680 
13.130000		261.036770 
16.860000		297.058590 
19.900000		322.982430 
21.890000		337.704100 
24.950000		356.884420 
29.820000		381.908080 
39.430000		420.430530 
57.690000		473.389300 
60.550000		479.928410 
61.410000		481.773590 
66.320000		491.616810 
73.730000		505.416910 
84.980000		524.766860 
90.550000		533.562780 
100.070000		547.255610 
110.200000		560.399160 
133.600000		587.464800 
162.870000		617.197720 
215.730000		663.449130 
338.120000		753.113600 
641.260000		932.040750 
921.300000		1069.896910 
1505.040000		1324.193050 
3189.430000		1962.563400 
7225.320000		3263.538460 
16105.620000		5623.131160 
23336.000000		7245.473940 
32110.410000		8972.486440 
40288.510000		10344.265310 
45399.820000		11052.960740 
51213.940000		11698.895210 
53876.080000		11931.208480 
54216.830000		11949.764710 
56045.440000		11986.248010 
