nPts
38
Ciso(ppm)		ADiso(mg/L rock)
2.480000		29.582700 
4.320000		55.982600 
4.650000		60.286960 
6.290000		79.948550 
8.330000		101.573190 
11.130000		128.142200 
15.730000		166.686000 
20.060000		198.161800 
26.310000		236.648410 
35.440000		282.736740 
47.100000		328.655700 
64.650000		378.641850 
67.230000		384.430180 
72.520000		395.561570 
74.460000		399.376490 
77.300000		404.565610 
88.560000		423.570770 
94.280000		432.437200 
101.550000		442.693480 
109.940000		453.361060 
118.240000		462.770680 
130.960000		475.419240 
153.260000		494.487500 
190.510000		521.207090 
264.670000		564.071520 
324.960000		593.012310 
433.790000		639.256010 
749.350000		755.952320 
1983.540000		1144.348630 
5390.530000		2028.761050 
7998.310000		2597.922940 
12214.610000		3401.973340 
16459.600000		4088.026500 
22261.340000		4856.925900 
32357.830000		5916.797320 
47662.650000		7101.687080 
51675.630000		7301.792430 
57196.720000		7424.966110 
