nPts
67
Ciso(ppm)		ADiso(mg/L rock)
42.700000		29681.808180 
43.100000		29959.858330 
44.300000		30675.958790 
46.100000		31696.986990 
50.800000		34270.532560 
55.800000		36910.034500 
57.500000		37774.038910 
66.100000		41975.679740 
74.600000		45961.226780 
85.500000		50857.647250 
105.000000		58082.648550 
109.000000		58895.770100 
114.000000		59362.940790 
116.000000		59523.214060 
122.000000		59982.171390 
128.000000		60419.266210 
132.000000		60696.092760 
133.000000		60759.834400 
143.000000		61342.600770 
149.000000		61670.405590 
155.000000		61976.347920 
162.000000		62318.704380 
163.000000		62355.121010 
164.000000		62398.825150 
171.000000		62646.454110 
173.000000		62712.002390 
179.000000		62886.784710 
189.000000		63138.006080 
192.000000		63203.536240 
194.000000		63244.308520 
199.000000		63342.596080 
200.000000		63360.796220 
208.000000		63493.281320 
215.000000		63604.105400 
218.000000		63649.961940 
220.000000		63674.794710 
230.000000		63768.446080 
233.000000		63794.355250 
239.000000		63843.987320 
257.000000		63986.327040 
270.000000		64103.974700 
274.000000		64129.411750 
295.000000		64274.797690 
296.000000		64273.325020 
298.000000		64281.853420 
327.000000		64450.789900 
332.000000		64479.853710 
361.000000		64643.142190 
373.000000		64694.308840 
409.000000		64877.337780 
454.000000		65097.928330 
511.000000		65369.555410 
534.000000		65477.063440 
565.000000		65619.140690 
645.000000		65978.511670 
760.000000		66484.628080 
939.000000		67256.097910 
1210.000000		68399.416350 
1470.000000		69070.060290 
1680.000000		69267.433990 
1970.000000		69513.585920 
2430.000000		69862.133570 
3090.000000		70302.105910 
4620.000000		71182.697050 
9230.000000		73416.125710 
16400.000000		76236.712400 
19700.000000		77234.301620 
