nPts
61
Ciso(ppm)		ADiso(mg/L rock)
0.650000		672.857260 
1.140000		1028.975220 
1.370000		1176.610810 
1.600000		1309.798100 
1.790000		1417.033190 
1.850000		1449.285060 
2.050000		1549.147430 
2.230000		1636.969220 
2.410000		1721.124830 
2.640000		1822.501980 
2.670000		1835.032700 
3.060000		1989.207690 
3.510000		2155.865510 
3.580000		2180.132630 
4.360000		2432.975290 
5.080000		2646.394820 
5.410000		2737.531200 
17.480000		5524.063860 
51.910000		10764.316040 
65.800000		12276.136230 
82.050000		13901.442480 
98.640000		15414.373280 
119.910000		17166.418900 
147.510000		19196.348660 
171.280000		20734.854290 
198.790000		22272.695740 
231.860000		23829.554610 
254.970000		24754.390140 
260.580000		24959.096310 
268.390000		25230.297360 
289.980000		25941.904040 
291.770000		25997.743410 
305.590000		26404.473100 
316.400000		26703.540900 
319.630000		26787.201710 
326.220000		26940.446750 
356.570000		27539.090780 
402.120000		28276.781210 
467.450000		29104.240940 
569.080000		30032.784750 
947.480000		32154.541500 
1277.450000		33268.744470 
1327.300000		33411.407500 
1422.570000		33674.719130 
1493.120000		33862.794590 
1597.950000		34131.981910 
1745.030000		34495.246890 
1929.830000		34933.564080 
2188.380000		35521.467030 
2502.120000		36204.064740 
2996.460000		37231.062480 
3871.610000		38963.433200 
5575.680000		42169.662920 
8781.450000		47887.195120 
12641.400000		54393.190700 
16672.150000		60792.058380 
17205.440000		61456.989020 
81496.710000		108244.146330 
86557.720000		108935.039560 
88281.950000		109326.749410 
90364.860000		109999.209090 
