SQZV5.0
Case 5  - Deriving An Effective Pseudo Isotherm From Coreflood 
Inhibitor Effluent Profile and Coreflood Modelling.
iModel      nEcho       nDebug 
5           1           0 
Lcore(cm)   Dcor(cm)    Phi         Rho(g/cm**3=2.65)
14.03       2.58        0.2082      2.65
VI(cm**3)   Vd(cm**3)   CI(ppm)     Cshut(ppm)
138.        8.34        50042.5     42894.8 
TolItr 
1.0e-8  
nX          Nstages     NIters      Nfreq       NoTstep	    IsCon       nXtra 
30          6           15          10          0	    0           5 
Qw(ml/hour) tspan(hour) dt(hour)    CI(ppm)     Disp        OperCode 
30.         0.5         0.001       50042.5     0.0         1
30.         3.8201      0.01        50042.5     0.0         1
30.         4.          0.01        0.0         0.0         2
30.         46.         0.4         0.0         0.0         2
30.         50.         0.6         0.0         0.0         2
30.         188.        1.2         0.0         0.0         2
iAnim       nLife       
0           0        
Experimental Effluent Data 
injVol(pv)  c(ppm) 
0                   0.0
 7.2870249017038008e-1   2.3866e+3
 9.2529488859764089e-1   2.32163e+4
 1.1218872870249017e+0   4.07288e+4
 1.5150720838794233e+0   4.13064e+4
 1.7116644823066841e+0   4.35446e+4
 1.908256880733945e+0    4.405e+4
 2.3014416775884666e+0   4.4772e+4
 2.6946264744429882e+0   4.48442e+4
 3.0878112712975098e+0   4.62882e+4
 3.8741808650065531e+0   4.8021e+4
 5.053735255570118e+0    5.0187e+4
 5.8401048492791612e+0   4.9826e+4
 6.6264744429882045e+0   4.95372e+4
 7.4128440366972477e+0   4.7299e+4
 8.3958060288335518e+0   4.8743e+4
 8.7857142857142857e+0   4.28948e+4
 8.8840104849279161e+0   3.84184e+4
 8.9823066841415465e+0   3.90682e+4
 9.1788990825688073e+0   3.61802e+4
 9.3754914809960682e+0   3.55304e+4
 9.4737876802096986e+0   2.96822e+4
 9.572083879423329e+0    2.94656e+4
 9.7686762778505898e+0   2.44838e+4
 9.9652686762778506e+0   1.6253e+4
 1.0161861074705111e+1   1.02604e+4
 1.0358453473132372e+1   7.589e+3
 1.0555045871559633e+1   5.2064e+3
 1.0751638269986894e+1   3.5458e+3
 1.0948230668414155e+1   2.7516e+3
 1.1144823066841415e+1   2.2462e+3
 1.1341415465268676e+1   1.9574e+3
 1.1538007863695937e+1   1.6686e+3
 1.191480996068152e+1    4.9497e+2
 1.4536041939711664e+1   1.8812e+2
 1.7157273918741809e+1   1.1953e+2
 2.3710353866317169e+1   4.64085e+1
 2.7642201834862385e+1   3.5759e+1
 3.1574049803407602e+1   3.23295e+1
 3.681651376146789e+1    2.5651e+1
 4.2058977719528178e+1   2.25825e+1
 4.7301441677588467e+1   1.9514e+1
 5.2543905635648755e+1   1.78895e+1
 5.9096985583224115e+1   1.5482875e+1
 6.5650065530799476e+1   1.4806e+1
 7.2203145478374836e+1   1.4084e+1
 7.8756225425950197e+1   1.31815e+1
 9.1862385321100917e+1   1.2279e+1
 9.8415465268676278e+1   1.1782625e+1
 1.0496854521625164e+2   1.1511875e+1
 1.11521625163827e+2     1.06545e+1
 1.1807470511140236e+2   9.887375e+0
 1.2462778505897772e+2   9.391e+0
 1.3118086500655308e+2   9.12025e+0
 1.3773394495412844e+2   8.669e+0
 1.5084010484927916e+2   7.944e+0
 1.6394626474442988e+2   7.49275e+0
 1.770524246395806e+2    7.27615e+0
 1.9015858453473132e+2   6.80685e+0
 2.0326474442988204e+2   6.5361e+0
 2.1637090432503277e+2   6.0307e+0
 2.3078768020969856e+2   6.2473e+0
 2.4258322411533421e+2   5.79605e+0
 2.5568938401048493e+2   5.0199e+0
 2.6879554390563565e+2   4.92965e+0
 2.7862516382699869e+2   4.85745e+0
 2.8190170380078637e+2   4.74915e+0
 2.9500786369593709e+2   4.5506e+0
 3.0811402359108781e+2   4.42425e+0
 3.2384141546526868e+2   4.20765e+0
 3.4255045871559633e+2   4.1896e+0
 3.5631192660550459e+2   3.9369e+0
 3.7007339449541284e+2   3.84665e+0
 3.838348623853211e+2    3.70225e+0
 3.9759633027522936e+2   3.3593e+0
 4.1135779816513761e+2   3.08855e+0
 4.2511926605504587e+2   3.0344e+0
 4.3888073394495413e+2   2.83585e+0
 4.5264220183486239e+2   2.72755e+0
 4.6640366972477064e+2   2.79975e+0
 4.801651376146789e+2    2.843875e+0
 4.9392660550458716e+2   2.834125e+0
 5.4759633027522936e+2   2.212125e+0
